,Area,BHK,Bathroom,Furnishing,Locality,Price
1239,1450.0,3,3.0,Semi-Furnished,Chittaranjan Park,22500000
1240,1000.0,2,2.0,Semi-Furnished,Chittaranjan Park,7500000
1241,2430.0,4,4.0,Furnished,Other,30000000
1242,945.0,2,1.0,Unfurnished,Chittaranjan Park,6500000
1243,1650.0,3,3.0,Unfurnished,Chittaranjan Park,35000000
1244,1350.0,3,2.0,Semi-Furnished,Other,17500000
1245,2625.0,4,5.0,Semi-Furnished,Chittaranjan Park,60000000
1246,1800.0,4,4.0,Semi-Furnished,Chittaranjan Park,40000000
1248,1440.0,3,3.0,Semi-Furnished,Chittaranjan Park,22500000
1249,1900.0,3,4.0,Semi-Furnished,Chittaranjan Park,28500000
1250,1800.0,3,3.0,Semi-Furnished,Chittaranjan Park,29000000
1251,1200.0,3,2.0,Semi-Furnished,Chittaranjan Park,15500000
1252,1800.0,3,3.0,Semi-Furnished,Other,26000000
1253,1200.0,3,3.0,Semi-Furnished,Chittaranjan Park,16500000
1254,4118.0,4,5.0,Unfurnished,Chittaranjan Park,55000000
1255,1050.0,3,2.0,Semi-Furnished,Chittaranjan Park,12500000
1256,875.0,3,3.0,Semi-Furnished,Chittaranjan Park,17500000
1257,990.0,2,2.0,Unfurnished,Other,11500000
1258,11050.0,3,3.0,Unfurnished,Chittaranjan Park,18500000
